test vector,6_s-a-0,13_1_s-a-1,4_s-a-1,8_2_s-a-1,11_s-a-0,13_s-a-0,10_s-a-0,4_1_s-a-0,3_s-a-0,5_s-a-1,12_s-a-1,3_2_s-a-1,1_s-a-1,3_s-a-1,8_1_s-a-0,2_2_s-a-0,7_s-a-0,14_s-a-0,13_1_s-a-0,10_s-a-1,2_s-a-1,17_s-a-0,4_s-a-0,16_s-a-0,12_s-a-0,10_2_s-a-0,10_2_s-a-1,3_2_s-a-0,14_s-a-1,8_1_s-a-1,4_1_s-a-1,2_1_s-a-1,14_2_s-a-1,3_1_s-a-1,4_2_s-a-1,8_s-a-0,8_2_s-a-0,2_s-a-0,8_s-a-1,11_s-a-1,17_s-a-1,9_s-a-1,15_s-a-0,15_s-a-1,2_2_s-a-1,16_s-a-1,10_1_s-a-1,13_2_s-a-1,13_s-a-1,Essential / Not Essential
01000000,,✓,✓,✓,✓,,✓,,,,,✓,,✓,,✓,,✓,,,,,,✓,✓,✓,,,,✓,✓,,,,,,,✓,✓,,✓,✓,,✓,,,,✓,✓,Not Essential
01000001,,✓,✓,,✓,,✓,,,,,✓,,✓,✓,✓,,,,,,,,✓,✓,✓,,,✓,,✓,,,,,✓,✓,✓,,,✓,✓,✓,,,,,,✓,Not Essential
01000010,,✓,✓,✓,✓,,✓,,,,✓,✓,,✓,,✓,✓,,,,,,,,,✓,,,✓,✓,✓,,,,,,,✓,✓,,✓,✓,✓,,,✓,,,✓,Not Essential
01000011,,✓,✓,,✓,,✓,,,,✓,✓,,✓,✓,✓,✓,✓,,,,,,,,✓,,,,,✓,,,,,✓,✓,✓,,,✓,✓,,✓,,✓,,✓,✓,Not Essential
01000100,✓,✓,✓,✓,✓,,✓,,,,✓,✓,,✓,,✓,,,,,,,,,,✓,,,✓,✓,✓,,,,,,,✓,✓,,✓,✓,✓,,,✓,,,✓,Not Essential
01000101,✓,✓,✓,,✓,,✓,,,,✓,✓,,✓,✓,✓,,✓,,,,,,,,✓,,,,,✓,,,,,✓,✓,✓,,,✓,✓,,✓,,✓,,✓,✓,Not Essential
01000110,,✓,✓,✓,✓,,✓,,,,✓,✓,,✓,,✓,,,,,,,,,,✓,,,✓,✓,✓,,,,,,,✓,✓,,✓,✓,✓,,,✓,,,✓,Not Essential
01000111,,✓,✓,,✓,,✓,,,,✓,✓,,✓,✓,✓,,✓,,,,,,,,✓,,,,,✓,,,,,✓,✓,✓,,,✓,✓,,✓,,✓,,✓,✓,Not Essential
01001000,,✓,✓,✓,✓,,✓,,,,,✓,,✓,,✓,,✓,,,,,,✓,✓,✓,,,,✓,✓,,,,✓,,,✓,✓,,✓,✓,,✓,,,,✓,✓,Not Essential
01001001,,✓,✓,,✓,,✓,,,,,✓,,✓,✓,✓,,,,,,,,✓,✓,✓,,,✓,,✓,,,,✓,✓,✓,✓,,,✓,✓,✓,,,,,,✓,Not Essential
01001010,,✓,✓,✓,✓,,✓,,,,✓,✓,,✓,,✓,✓,,,,,,,,,✓,,,✓,✓,✓,,,,✓,,,✓,✓,,✓,✓,✓,,,✓,,,✓,Not Essential
01001011,,✓,✓,,✓,,✓,,,,✓,✓,,✓,✓,✓,✓,✓,,,,,,,,✓,,,,,✓,,,,✓,✓,✓,✓,,,✓,✓,,✓,,✓,,✓,✓,Not Essential
01001100,✓,✓,✓,✓,✓,,✓,,,,✓,✓,,✓,,✓,,,,,,,,,,✓,,,✓,✓,✓,,,,✓,,,✓,✓,,✓,✓,✓,,,✓,,,✓,Not Essential
01001101,✓,✓,✓,,✓,,✓,,,,✓,✓,,✓,✓,✓,,✓,,,,,,,,✓,,,,,✓,,,,✓,✓,✓,✓,,,✓,✓,,✓,,✓,,✓,✓,Not Essential
01001110,,✓,✓,✓,✓,,✓,,,,✓,✓,,✓,,✓,,,,,,,,,,✓,,,✓,✓,✓,,,,✓,,,✓,✓,,✓,✓,✓,,,✓,,,✓,Not Essential
01001111,,✓,✓,,✓,,✓,,,,✓,✓,,✓,✓,✓,,✓,,,,,,,,✓,,,,,✓,,,,✓,✓,✓,✓,,,✓,✓,,✓,,✓,,✓,✓,Not Essential
01010000,,✓,,✓,✓,,,✓,,✓,,✓,,✓,,✓,,,,✓,,,✓,,✓,,✓,,✓,✓,,,,,,,,✓,✓,,✓,,✓,,,✓,,,✓,Not Essential
01010001,,✓,,,✓,,,✓,,✓,,✓,,✓,✓,✓,,✓,,✓,,,✓,,✓,,✓,,,,,,,,,✓,✓,✓,,,✓,,,✓,,✓,,✓,✓,Not Essential
01010010,,✓,,✓,✓,,,✓,,✓,✓,✓,,✓,,✓,✓,✓,,✓,,,✓,✓,,,✓,,,✓,,,,,,,,✓,✓,,✓,,,✓,,,,✓,✓,Not Essential
01010011,,✓,,,✓,,,✓,,✓,✓,✓,,✓,✓,✓,✓,,,✓,,,✓,✓,,,✓,,✓,,,,,,,✓,✓,✓,,,✓,,✓,,,,,,✓,Not Essential
01010100,✓,✓,,✓,✓,,,✓,,✓,✓,✓,,✓,,✓,,✓,,✓,,,✓,✓,,,✓,,,✓,,,,,,,,✓,✓,,✓,,,✓,,,,✓,✓,Not Essential
01010101,✓,✓,,,✓,,,✓,,✓,✓,✓,,✓,✓,✓,,,,✓,,,✓,✓,,,✓,,✓,,,,,,,✓,✓,✓,,,✓,,✓,,,,,,✓,Not Essential
01010110,,✓,,✓,✓,,,✓,,✓,✓,✓,,✓,,✓,,✓,,✓,,,✓,✓,,,✓,,,✓,,,,,,,,✓,✓,,✓,,,✓,,,,✓,✓,Not Essential
